"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Tackles","","Tackles for Loss","","","Sacks","","","","Pass Breakups","Forced Fumbles","QB Hurries","Blocked Kicks"
"","","","","","","Unassisted","Assisted","Unassisted","Assisted","Yards","Unassisted","Assisted","Yards","No.","No.","No.","No."
"28","Arizona St.","11/10/12","21","YOUNG","CHRIS","2","2","","","","","","","","","",""
"28","Arizona St.","11/17/12","21","YOUNG","CHRIS","0","1","","","","","","","","","",""
"28","Arizona St.","11/23/12","21","YOUNG","CHRIS","9","1","0","1","2","","","","","","",""
"28","Arizona St.","12/29/12","21","YOUNG","CHRIS","3","4","","","","","","","","","",""
"31","Arkansas","11/23/12","67","BAILEY","ALVIN","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","1B","BENNETT","ERIC","2","2","","","","","","","","","",""
"31","Arkansas","09/08/12","1B","BENNETT","ERIC","2","4","","","","","","","1","","",""
"31","Arkansas","09/15/12","1B","BENNETT","ERIC","2","4","","","","","","","","","",""
"31","Arkansas","09/22/12","1B","BENNETT","ERIC","2","1","","","","","","","1","","",""
"31","Arkansas","10/06/12","1B","BENNETT","ERIC","1","1","","","","","","","","","",""
"31","Arkansas","10/13/12","1B","BENNETT","ERIC","0","1","","","","","","","","","",""
"31","Arkansas","10/27/12","1B","BENNETT","ERIC","3","2","","","","","","","1","","",""
"31","Arkansas","11/03/12","1B","BENNETT","ERIC","1","1","","","","","","","","","",""
"31","Arkansas","11/10/12","1B","BENNETT","ERIC","2","0","","","","","","","","","",""
"31","Arkansas","11/17/12","1B","BENNETT","ERIC","1","4","0","1","3","","","","","","",""
"31","Arkansas","11/23/12","1B","BENNETT","ERIC","1","3","","","","","","","","","",""
"31","Arkansas","10/27/12","14","BREEDING","DYLAN","1","0","","","","","","","","","",""
"31","Arkansas","09/08/12","4B","BRYAN","CAMERON","0","1","","","","","","","","","",""
"31","Arkansas","10/06/12","4B","BRYAN","CAMERON","1","0","","","","","","","","","",""
"31","Arkansas","10/27/12","4B","BRYAN","CAMERON","0","1","","","","","","","","","",""
"31","Arkansas","11/03/12","4B","BRYAN","CAMERON","0","1","","","","","","","","","",""
"31","Arkansas","11/17/12","4B","BRYAN","CAMERON","0","1","","","","","","","","","",""
"31","Arkansas","11/23/12","4B","BRYAN","CAMERON","2","0","","","","","","","","","",""
"31","Arkansas","10/27/12","53","D'APPOLLONIO","ALAN","0","1","","","","","","","","","",""
"31","Arkansas","09/01/12","51","DAVIS","ALFRED","1","1","","","","","","","","","",""
"31","Arkansas","09/08/12","51","DAVIS","ALFRED","3","1","","","","","","","","","",""
"31","Arkansas","09/15/12","51","DAVIS","ALFRED","2","1","","","","","","","","","",""
"31","Arkansas","09/22/12","51","DAVIS","ALFRED","1","6","0","1","0","","","","","","",""
"31","Arkansas","09/29/12","51","DAVIS","ALFRED","2","2","","","","","","","","","",""
"31","Arkansas","10/06/12","51","DAVIS","ALFRED","1","0","1","0","4","","","","","1","",""
"31","Arkansas","10/13/12","51","DAVIS","ALFRED","1","0","","","","","","","","","1",""
"31","Arkansas","10/27/12","51","DAVIS","ALFRED","1","2","","","","","","","","","",""
"31","Arkansas","11/03/12","51","DAVIS","ALFRED","3","2","0","1","2","","","","","","",""
"31","Arkansas","11/10/12","51","DAVIS","ALFRED","2","3","0","1","0","","","","","","",""
"31","Arkansas","11/17/12","51","DAVIS","ALFRED","0","3","","","","","","","","","1",""
"31","Arkansas","11/23/12","51","DAVIS","ALFRED","","","","","","","","","1","","",""
"31","Arkansas","09/01/12","7","DAVIS","KNILE","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","86","FLOWERS","TREY","2","2","2","0","6","","","","","","1",""
"31","Arkansas","09/08/12","86","FLOWERS","TREY","1","1","0","1","1","","","","","","",""
"31","Arkansas","09/15/12","86","FLOWERS","TREY","","","","","","","","","","","1",""
"31","Arkansas","09/22/12","86","FLOWERS","TREY","2","1","1","0","12","1","0","12","","","1",""
"31","Arkansas","09/29/12","86","FLOWERS","TREY","1","0","","","","","","","1","","",""
"31","Arkansas","10/06/12","86","FLOWERS","TREY","4","1","3","1","39","3","1","39","","","2",""
"31","Arkansas","10/13/12","86","FLOWERS","TREY","0","5","","","","","","","","","2",""
"31","Arkansas","10/27/12","86","FLOWERS","TREY","2","2","","","","","","","","","",""
"31","Arkansas","11/03/12","86","FLOWERS","TREY","3","1","","","","","","","1","","",""
"31","Arkansas","11/10/12","86","FLOWERS","TREY","4","2","2","1","9","","","","","","1",""
"31","Arkansas","11/17/12","86","FLOWERS","TREY","2","4","2","1","7","1","0","5","","","3",""
"31","Arkansas","11/23/12","86","FLOWERS","TREY","1","9","0","2","2","0","1","2","1","","",""
"31","Arkansas","09/01/12","41","FLYNN","AUSTIN","0","1","0","1","1","","","","","","",""
"31","Arkansas","09/08/12","41","FLYNN","AUSTIN","0","1","","","","","","","","","",""
"31","Arkansas","09/15/12","41","FLYNN","AUSTIN","1","1","","","","","","","","","",""
"31","Arkansas","09/22/12","41","FLYNN","AUSTIN","1","0","","","","","","","","","",""
"31","Arkansas","09/29/12","41","FLYNN","AUSTIN","1","0","","","","","","","","","",""
"31","Arkansas","10/06/12","41","FLYNN","AUSTIN","","","","","","","","","","","1",""
"31","Arkansas","10/27/12","41","FLYNN","AUSTIN","2","0","1","0","5","","","","","","",""
"31","Arkansas","11/10/12","41","FLYNN","AUSTIN","1","0","","","","","","","","","1",""
"31","Arkansas","11/17/12","41","FLYNN","AUSTIN","0","1","","","","","","","","","1",""
"31","Arkansas","09/01/12","26","GAINES","ROHAN","5","0","","","","","","","","1","",""
"31","Arkansas","09/08/12","26","GAINES","ROHAN","5","5","","","","","","","","","",""
"31","Arkansas","09/15/12","26","GAINES","ROHAN","8","3","","","","","","","","","",""
"31","Arkansas","09/22/12","26","GAINES","ROHAN","1","3","","","","","","","","","",""
"31","Arkansas","09/29/12","26","GAINES","ROHAN","5","2","","","","","","","1","","1",""
"31","Arkansas","10/06/12","26","GAINES","ROHAN","3","2","","","","","","","","","",""
"31","Arkansas","10/13/12","26","GAINES","ROHAN","0","4","","","","","","","","","",""
"31","Arkansas","10/27/12","26","GAINES","ROHAN","5","4","","","","","","","","","",""
"31","Arkansas","11/03/12","26","GAINES","ROHAN","4","2","","","","","","","","","",""
"31","Arkansas","11/10/12","26","GAINES","ROHAN","2","0","","","","","","","3","","",""
"31","Arkansas","11/17/12","26","GAINES","ROHAN","5","4","","","","","","","","","",""
"31","Arkansas","11/23/12","26","GAINES","ROHAN","3","0","","","","","","","","","",""
"31","Arkansas","09/01/12","57","GREEN","JARED","1","2","1","1","11","1","0","11","","","",""
"31","Arkansas","09/08/12","57","GREEN","JARED","1","2","0","1","0","","","","","","",""
"31","Arkansas","09/15/12","57","GREEN","JARED","1","0","","","","","","","","","",""
"31","Arkansas","09/22/12","57","GREEN","JARED","0","1","","","","","","","","","",""
"31","Arkansas","09/29/12","57","GREEN","JARED","0","1","","","","","","","","","",""
"31","Arkansas","10/06/12","57","GREEN","JARED","","","","","","","","","","","1",""
"31","Arkansas","10/13/12","57","GREEN","JARED","1","3","1","0","9","1","0","9","","","",""
"31","Arkansas","10/27/12","57","GREEN","JARED","1","2","1","0","4","","","","","","",""
"31","Arkansas","11/03/12","57","GREEN","JARED","1","2","0","2","5","0","1","4","","","",""
"31","Arkansas","11/10/12","57","GREEN","JARED","4","1","2","0","13","1","0","9","","","",""
"31","Arkansas","11/17/12","57","GREEN","JARED","0","3","0","1","1","","","","","","",""
"31","Arkansas","11/23/12","57","GREEN","JARED","2","1","","","","","","","","","",""
"31","Arkansas","09/15/12","11","HAMILTON","COBI","1","0","","","","","","","","","",""
"31","Arkansas","11/03/12","11","HAMILTON","COBI","1","0","","","","","","","","","",""
"31","Arkansas","11/17/12","11","HAMILTON","COBI","1","0","","","","","","","","","",""
"31","Arkansas","10/27/12","4","HATCHER","KEON","0","1","","","","","","","","","",""
"31","Arkansas","11/23/12","4","HATCHER","KEON","1","0","","","","","","","","","",""
"31","Arkansas","11/03/12","19","HERNDON","JAVONTEE","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","45","HIGHSMITH","ALONZO","1","6","","","","","","","","","",""
"31","Arkansas","09/08/12","45","HIGHSMITH","ALONZO","5","3","1","0","8","1","0","8","","","",""
"31","Arkansas","09/15/12","45","HIGHSMITH","ALONZO","7","3","","","","","","","","","",""
"31","Arkansas","09/22/12","45","HIGHSMITH","ALONZO","6","9","1","2","5","","","","","","",""
"31","Arkansas","09/29/12","45","HIGHSMITH","ALONZO","5","6","","","","","","","","","1",""
"31","Arkansas","10/06/12","45","HIGHSMITH","ALONZO","1","2","1","0","11","1","0","11","1","","",""
"31","Arkansas","09/08/12","9","HINES","WILL","2","0","","","","","","","1","","",""
"31","Arkansas","09/15/12","9","HINES","WILL","1","1","","","","","","","","","",""
"31","Arkansas","09/22/12","9","HINES","WILL","2","0","","","","","","","","","",""
"31","Arkansas","09/29/12","9","HINES","WILL","4","2","","","","","","","","","",""
"31","Arkansas","10/06/12","9","HINES","WILL","3","1","","","","","","","","","",""
"31","Arkansas","10/13/12","9","HINES","WILL","0","1","","","","","","","","","",""
"31","Arkansas","10/27/12","9","HINES","WILL","1","1","","","","","","","","","",""
"31","Arkansas","11/03/12","9","HINES","WILL","","","","","","","","","2","","",""
"31","Arkansas","11/10/12","9","HINES","WILL","1","0","","","","","","","","","",""
"31","Arkansas","11/17/12","9","HINES","WILL","3","1","","","","","","","","1","",""
"31","Arkansas","11/23/12","9","HINES","WILL","","","","","","","","","1","","",""
"31","Arkansas","09/22/12","18","HOCKER","ZACH","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","93","HODGE","DEMARCUS","0","1","0","1","1","","","","","","",""
"31","Arkansas","09/15/12","93","HODGE","DEMARCUS","1","0","","","","","","","","","",""
"31","Arkansas","09/22/12","1H","HOLMES","PRICE","0","1","","","","","","","","","",""
"31","Arkansas","09/01/12","2","HORTON","JULIAN","0","1","","","","","","","","","",""
"31","Arkansas","09/22/12","2","HORTON","JULIAN","1","0","","","","","","","","","",""
"31","Arkansas","10/06/12","2","HORTON","JULIAN","0","1","","","","","","","","","",""
"31","Arkansas","09/08/12","52","JONES","AUSTIN","0","1","","","","","","","","","",""
"31","Arkansas","09/01/12","54","JONES","BYRAN","1","3","0","1","2","","","","","","","1"
"31","Arkansas","09/08/12","54","JONES","BYRAN","0","6","","","","","","","","","",""
"31","Arkansas","09/15/12","54","JONES","BYRAN","2","4","0","1","1","","","","","","",""
"31","Arkansas","09/22/12","54","JONES","BYRAN","0","4","0","1","2","","","","","","",""
"31","Arkansas","09/29/12","54","JONES","BYRAN","0","3","","","","","","","","","",""
"31","Arkansas","10/06/12","54","JONES","BYRAN","3","1","","","","","","","","","1",""
"31","Arkansas","10/13/12","54","JONES","BYRAN","1","4","","","","","","","","","",""
"31","Arkansas","10/27/12","54","JONES","BYRAN","1","2","1","0","15","1","0","15","","","1",""
"31","Arkansas","11/03/12","54","JONES","BYRAN","0","1","","","","","","","","","1",""
"31","Arkansas","11/10/12","54","JONES","BYRAN","3","3","1","2","7","","","","","","",""
"31","Arkansas","11/17/12","54","JONES","BYRAN","2","5","0","1","2","0","1","2","","","1",""
"31","Arkansas","11/23/12","54","JONES","BYRAN","1","2","","","","","","","","","",""
"31","Arkansas","09/01/12","92","JONES","DEQUINTA","1","1","0","1","1","","","","","","",""
"31","Arkansas","09/08/12","92","JONES","DEQUINTA","0","3","","","","","","","","","",""
"31","Arkansas","09/15/12","92","JONES","DEQUINTA","0","1","","","","","","","","","",""
"31","Arkansas","09/22/12","92","JONES","DEQUINTA","2","4","0","2","1","","","","1","","",""
"31","Arkansas","09/29/12","92","JONES","DEQUINTA","0","1","","","","","","","2","","",""
"31","Arkansas","10/06/12","92","JONES","DEQUINTA","","","","","","","","","1","","",""
"31","Arkansas","11/03/12","92","JONES","DEQUINTA","0","1","","","","","","","","","","1"
"31","Arkansas","11/17/12","92","JONES","DEQUINTA","0","2","","","","","","","","","",""
"31","Arkansas","11/23/12","92","JONES","DEQUINTA","2","0","","","","","","","1","","",""
"31","Arkansas","09/01/12","23","KELLEYBREW","KAELON","3","1","","","","","","","1","","1",""
"31","Arkansas","09/08/12","23","KELLEYBREW","KAELON","3","2","","","","","","","","","",""
"31","Arkansas","09/15/12","23","KELLEYBREW","KAELON","4","1","","","","","","","2","","",""
"31","Arkansas","09/22/12","23","KELLEYBREW","KAELON","3","4","","","","","","","1","","",""
"31","Arkansas","09/29/12","23","KELLEYBREW","KAELON","2","0","1","0","5","","","","","","",""
"31","Arkansas","11/03/12","23","KELLEYBREW","KAELON","2","1","","","","","","","1","","",""
"31","Arkansas","11/10/12","23","KELLEYBREW","KAELON","0","1","0","1","1","","","","","","",""
"31","Arkansas","11/17/12","23","KELLEYBREW","KAELON","2","0","","","","","","","1","","",""
"31","Arkansas","11/23/12","23","KELLEYBREW","KAELON","1","2","0","1","1","","","","1","","",""
"31","Arkansas","10/13/12","39","LAKE","JARRETT","2","1","","","","","","","","","",""
"31","Arkansas","11/03/12","39","LAKE","JARRETT","1","1","","","","","","","","","",""
"31","Arkansas","11/10/12","39","LAKE","JARRETT","2","2","0","1","1","","","","","","",""
"31","Arkansas","11/17/12","39","LAKE","JARRETT","0","2","","","","","","","","","",""
"31","Arkansas","11/17/12","5L","LOEWEN","MITCHELL","0","1","","","","","","","","","",""
"31","Arkansas","10/13/12","3","LOWE","DEFONTA","1","0","","","","","","","","","",""
"31","Arkansas","09/29/12","47","MARSHALL","MATT","0","1","","","","","","","","","",""
"31","Arkansas","10/06/12","47","MARSHALL","MATT","0","1","","","","","","","","","",""
"31","Arkansas","09/29/12","13","MCKINNEY","DAVYON","1","0","","","","","","","","","",""
"31","Arkansas","10/06/12","13","MCKINNEY","DAVYON","1","1","","","","","","","","","",""
"31","Arkansas","10/13/12","13","MCKINNEY","DAVYON","2","0","","","","","","","","","",""
"31","Arkansas","11/03/12","13","MCKINNEY","DAVYON","0","1","","","","","","","","","",""
"31","Arkansas","11/10/12","13","MCKINNEY","DAVYON","2","0","","","","","","","","","",""
"31","Arkansas","11/17/12","13","MCKINNEY","DAVYON","1","2","","","","","","","","","",""
"31","Arkansas","09/01/12","90","MILES-NASH","COLTON","1","3","0","1","2","","","","","","",""
"31","Arkansas","09/08/12","90","MILES-NASH","COLTON","0","3","","","","","","","","","1",""
"31","Arkansas","09/15/12","90","MILES-NASH","COLTON","0","1","","","","","","","","","",""
"31","Arkansas","09/22/12","90","MILES-NASH","COLTON","0","1","","","","","","","","","",""
"31","Arkansas","09/29/12","90","MILES-NASH","COLTON","0","1","","","","","","","","","",""
"31","Arkansas","11/03/12","90","MILES-NASH","COLTON","3","1","","","","","","","","","",""
"31","Arkansas","09/01/12","8M","MITCHEL","TEVIN","3","3","","","","","","","1","","",""
"31","Arkansas","09/08/12","8M","MITCHEL","TEVIN","5","3","","","","","","","1","2","",""
"31","Arkansas","10/13/12","8M","MITCHEL","TEVIN","0","2","","","","","","","","","",""
"31","Arkansas","10/27/12","8M","MITCHEL","TEVIN","1","2","","","","","","","1","","",""
"31","Arkansas","11/03/12","8M","MITCHEL","TEVIN","3","4","0","1","1","","","","1","","",""
"31","Arkansas","11/10/12","8M","MITCHEL","TEVIN","2","0","","","","","","","","","",""
"31","Arkansas","11/23/12","8M","MITCHEL","TEVIN","1","5","","","","","","","","","",""
"31","Arkansas","11/03/12","34","MITCHELL","BRAYLON","0","1","","","","","","","","","",""
"31","Arkansas","09/01/12","38","MITCHELL","JERRY","1","0","","","","","","","","","",""
"31","Arkansas","10/27/12","38","MITCHELL","JERRY","1","1","","","","","","","","","",""
"31","Arkansas","11/10/12","38","MITCHELL","JERRY","1","0","","","","","","","","","",""
"31","Arkansas","11/17/12","38","MITCHELL","JERRY","1","1","","","","","","","","","",""
"31","Arkansas","09/22/12","5","PETERS","OTHA","0","1","","","","","","","","","",""
"31","Arkansas","10/06/12","5","PETERS","OTHA","4","1","","","","","","","","","",""
"31","Arkansas","10/27/12","5","PETERS","OTHA","0","4","","","","","","","","","",""
"31","Arkansas","11/03/12","5","PETERS","OTHA","2","2","0","1","3","0","1","3","","","",""
"31","Arkansas","11/10/12","5","PETERS","OTHA","4","4","","","","","","","","","1",""
"31","Arkansas","11/17/12","5","PETERS","OTHA","3","5","","","","","","","","","1",""
"31","Arkansas","11/23/12","5","PETERS","OTHA","1","1","","","","","","","","","",""
"31","Arkansas","09/01/12","35","RASNER","ROSS","3","8","1","1","10","","","","1","1","",""
"31","Arkansas","09/08/12","35","RASNER","ROSS","4","5","","","","","","","2","","",""
"31","Arkansas","09/15/12","35","RASNER","ROSS","1","3","0","1","1","","","","","","",""
"31","Arkansas","09/22/12","35","RASNER","ROSS","7","1","","","","","","","","","",""
"31","Arkansas","09/29/12","35","RASNER","ROSS","3","2","","","","","","","","","",""
"31","Arkansas","10/06/12","35","RASNER","ROSS","8","2","0","1","1","","","","","1","",""
"31","Arkansas","10/13/12","35","RASNER","ROSS","2","2","1","0","5","1","0","5","","","",""
"31","Arkansas","10/27/12","35","RASNER","ROSS","5","5","2","0","11","1","0","6","1","","",""
"31","Arkansas","11/03/12","35","RASNER","ROSS","3","3","","","","","","","1","","",""
"31","Arkansas","11/10/12","35","RASNER","ROSS","6","1","1","0","5","","","","1","","",""
"31","Arkansas","11/17/12","35","RASNER","ROSS","2","3","0","1","2","","","","","","1",""
"31","Arkansas","11/23/12","35","RASNER","ROSS","5","8","0","2","7","0","1","6","1","","",""
"31","Arkansas","09/01/12","42","SMITH","CHRIS","4","2","1","0","12","1","0","12","","","1",""
"31","Arkansas","09/08/12","42","SMITH","CHRIS","1","2","1","0","15","1","0","15","","","2",""
"31","Arkansas","09/15/12","42","SMITH","CHRIS","1","3","","","","","","","","","",""
"31","Arkansas","09/22/12","42","SMITH","CHRIS","","","","","","","","","","","1",""
"31","Arkansas","09/29/12","42","SMITH","CHRIS","2","3","1","0","1","","","","","","1",""
"31","Arkansas","10/06/12","42","SMITH","CHRIS","4","1","1","1","10","1","1","10","","","2",""
"31","Arkansas","10/13/12","42","SMITH","CHRIS","0","1","","","","","","","1","","",""
"31","Arkansas","10/27/12","42","SMITH","CHRIS","3","2","2","0","8","1","0","5","","","1",""
"31","Arkansas","11/03/12","42","SMITH","CHRIS","4","4","1","1","8","1","0","8","2","1","2",""
"31","Arkansas","11/10/12","42","SMITH","CHRIS","3","1","2","0","3","1","0","2","","","",""
"31","Arkansas","11/17/12","42","SMITH","CHRIS","1","4","1","1","5","1","1","5","","","2",""
"31","Arkansas","11/23/12","42","SMITH","CHRIS","5","1","1","1","8","1","1","8","1","","",""
"31","Arkansas","10/27/12","64","SWANSON","TRAVIS","1","0","","","","","","","","","",""
"31","Arkansas","09/08/12","87","TATE","AUSTIN","1","0","","","","","","","","","",""
"31","Arkansas","09/15/12","87","TATE","AUSTIN","0","1","","","","","","","","","",""
"31","Arkansas","09/22/12","87","TATE","AUSTIN","0","1","","","","","","","","","",""
"31","Arkansas","09/29/12","87","TATE","AUSTIN","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","98","THOMAS","ROBERT","1","1","1","1","2","","","","","","1",""
"31","Arkansas","09/08/12","98","THOMAS","ROBERT","3","2","2","0","2","1","0","1","","","1",""
"31","Arkansas","09/15/12","98","THOMAS","ROBERT","","","","","","","","","","","2",""
"31","Arkansas","09/22/12","98","THOMAS","ROBERT","0","4","","","","","","","","","",""
"31","Arkansas","09/29/12","98","THOMAS","ROBERT","0","1","","","","","","","","","",""
"31","Arkansas","10/06/12","98","THOMAS","ROBERT","1","0","1","0","12","1","0","12","","","",""
"31","Arkansas","10/13/12","98","THOMAS","ROBERT","0","1","","","","","","","","","",""
"31","Arkansas","10/27/12","98","THOMAS","ROBERT","1","0","","","","","","","","","",""
"31","Arkansas","11/17/12","98","THOMAS","ROBERT","0","1","","","","","","","","","1",""
"31","Arkansas","11/23/12","98","THOMAS","ROBERT","0","2","0","1","6","0","1","6","","","",""
"31","Arkansas","09/01/12","31","TURNER","A.J.","0","1","","","","","","","","","",""
"31","Arkansas","09/29/12","31","TURNER","A.J.","2","5","","","","","","","","","",""
"31","Arkansas","10/13/12","31","TURNER","A.J.","3","2","","","","","","","","","",""
"31","Arkansas","10/27/12","31","TURNER","A.J.","2","8","","","","","","","","","",""
"31","Arkansas","11/03/12","31","TURNER","A.J.","3","4","1","0","1","","","","","","",""
"31","Arkansas","11/10/12","31","TURNER","A.J.","4","2","1","0","6","1","0","6","","","",""
"31","Arkansas","11/17/12","31","TURNER","A.J.","1","4","","","","","","","","","",""
"31","Arkansas","11/23/12","31","TURNER","A.J.","3","9","1","1","2","","","","","","",""
"31","Arkansas","09/01/12","27","TURNER","ALAN","1","0","","","","","","","","","",""
"31","Arkansas","09/08/12","27","TURNER","ALAN","0","1","","","","","","","","","",""
"31","Arkansas","09/15/12","27","TURNER","ALAN","1","1","","","","","","","","","",""
"31","Arkansas","09/29/12","27","TURNER","ALAN","3","3","","","","","","","","","",""
"31","Arkansas","10/06/12","27","TURNER","ALAN","2","2","1","0","1","","","","","","",""
"31","Arkansas","09/29/12","32","WILLIAMS","JONATHAN","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","25","WILLIAMS","TERRELL","1","0","","","","","","","","","",""
"31","Arkansas","09/15/12","25","WILLIAMS","TERRELL","1","0","","","","","","","","","",""
"31","Arkansas","09/22/12","25","WILLIAMS","TERRELL","3","9","0","2","2","","","","","","",""
"31","Arkansas","09/29/12","25","WILLIAMS","TERRELL","3","3","","","","","","","","","",""
"31","Arkansas","10/06/12","25","WILLIAMS","TERRELL","7","5","1","1","10","1","0","8","","","",""
"31","Arkansas","10/13/12","25","WILLIAMS","TERRELL","2","3","","","","","","","1","","1",""
"31","Arkansas","10/27/12","25","WILLIAMS","TERRELL","1","7","","","","","","","","","",""
"31","Arkansas","11/03/12","25","WILLIAMS","TERRELL","2","5","","","","","","","","","",""
"31","Arkansas","11/23/12","25","WILLIAMS","TERRELL","1","3","","","","","","","1","","",""
"31","Arkansas","09/15/12","81","WILSON","DEMETRIUS","1","0","","","","","","","","","",""
"31","Arkansas","09/29/12","81","WILSON","DEMETRIUS","0","1","","","","","","","","","",""
"31","Arkansas","10/06/12","81","WILSON","DEMETRIUS","1","0","","","","","","","","","",""
"31","Arkansas","10/27/12","81","WILSON","DEMETRIUS","0","1","","","","","","","","","",""
"31","Arkansas","11/03/12","81","WILSON","DEMETRIUS","1","0","","","","","","","","","",""
"31","Arkansas","11/10/12","81","WILSON","DEMETRIUS","1","0","","","","","","","","","",""
"31","Arkansas","11/17/12","81","WILSON","DEMETRIUS","0","1","","","","","","","","","",""
"31","Arkansas","11/17/12","8","WILSON","TYLER","1","0","","","","","","","","","",""
"31","Arkansas","09/22/12","20","WINGO, JR.","RONNIE","0","1","","","","","","","","","",""
"31","Arkansas","11/10/12","20","WINGO, JR.","RONNIE","1","0","","","","","","","","","",""
"31","Arkansas","09/01/12","21","WINSTON","DARIUS","0","1","","","","","","","","","",""
"31","Arkansas","09/08/12","21","WINSTON","DARIUS","3","0","","","","","","","1","","",""
"31","Arkansas","09/29/12","21","WINSTON","DARIUS","0","1","","","","","","","","","",""
"31","Arkansas","09/01/12","48","WISE JR.","DEATRICH","2","0","1","0","21","1","0","21","","","",""
"31","Arkansas","09/01/12","43","WRIGHT","TENARIUS","2","6","","","","","","","1","","",""
"31","Arkansas","09/08/12","43","WRIGHT","TENARIUS","3","8","","","","","","","","","1",""
"31","Arkansas","09/15/12","43","WRIGHT","TENARIUS","0","6","","","","","","","","","",""
"31","Arkansas","09/22/12","43","WRIGHT","TENARIUS","","","","","","","","","","","1",""
"31","Arkansas","09/29/12","43","WRIGHT","TENARIUS","1","2","","","","","","","","","",""
"30","Arkansas St.","09/22/12","41","ALBRIGHT","LAANGELO","2","2","0","1","4","","","","","","",""
"30","Arkansas St.","12/01/12","41","ALBRIGHT","LAANGELO","1","0","","","","","","","","","",""
"30","Arkansas St.","09/01/12","77","BLACKMON","DEXTER","1","1","","","","","","","","","",""
"30","Arkansas St.","09/15/12","77","BLACKMON","DEXTER","1","0","","","","","","","","","",""
"30","Arkansas St.","09/22/12","77","BLACKMON","DEXTER","0","4","0","1","1","","","","","","",""
"30","Arkansas St.","09/29/12","77","BLACKMON","DEXTER","1","0","","","","","","","","","",""
"30","Arkansas St.","10/04/12","77","BLACKMON","DEXTER","1","0","","","","","","","","","",""
"30","Arkansas St.","11/03/12","77","BLACKMON","DEXTER","1","0","","","","","","","","","",""
"30","Arkansas St.","11/08/12","77","BLACKMON","DEXTER","1","0","","","","","","","","","",""
"30","Arkansas St.","11/17/12","77","BLACKMON","DEXTER","1","1","","","","","","","","","",""
"30","Arkansas St.","12/01/12","77","BLACKMON","DEXTER","0","3","0","1","0","","","","","","",""
"30","Arkansas St.","01/06/13","77","BLACKMON","DEXTER","0","1","","","","","","","","","",""
"30","Arkansas St.","09/08/12","10","BROWN","ARTEZ","1","0","","","","","","","","","",""
"30","Arkansas St.","09/15/12","10","BROWN","ARTEZ","1","0","","","","","","","","","",""
"30","Arkansas St.","09/29/12","10","BROWN","ARTEZ","0","3","","","","","","","","","",""
"30","Arkansas St.","10/04/12","10","BROWN","ARTEZ","3","0","","","","","","","","","",""
"30","Arkansas St.","10/13/12","10","BROWN","ARTEZ","1","1","","","","","","","1","","",""
"30","Arkansas St.","10/23/12","10","BROWN","ARTEZ","5","0","2","0","5","1","0","2","","","",""
"30","Arkansas St.","11/03/12","10","BROWN","ARTEZ","2","3","","","","","","","","","",""
"30","Arkansas St.","12/01/12","10","BROWN","ARTEZ","2","0","","","","","","","1","","",""
"30","Arkansas St.","01/06/13","10","BROWN","ARTEZ","1","1","","","","","","","1","","",""
"30","Arkansas St.","09/22/12","50","BUCKLEY","DARIUS","0","1","0","1","2","","","","","","",""
"30","Arkansas St.","09/01/12","98","CARRETHERS","RYAN","2","2","","","","","","","","","",""
"30","Arkansas St.","09/08/12","98","CARRETHERS","RYAN","1","9","","","","","","","","","",""
"30","Arkansas St.","09/15/12","98","CARRETHERS","RYAN","1","3","","","","","","","","","",""
"30","Arkansas St.","09/22/12","98","CARRETHERS","RYAN","0","5","0","1","1","","","","","","",""
"30","Arkansas St.","09/29/12","98","CARRETHERS","RYAN","1","3","","","","","","","","","",""
"30","Arkansas St.","10/04/12","98","CARRETHERS","RYAN","6","2","1","0","9","","","","","","",""
"30","Arkansas St.","10/13/12","98","CARRETHERS","RYAN","0","10","0","1","3","0","1","3","","","",""
"30","Arkansas St.","11/03/12","98","CARRETHERS","RYAN","2","3","1","0","1","","","","","","",""
"30","Arkansas St.","11/08/12","98","CARRETHERS","RYAN","0","5","0","1","0","0","1","0","","","",""
"30","Arkansas St.","11/17/12","98","CARRETHERS","RYAN","1","4","","","","","","","","","",""
"30","Arkansas St.","12/01/12","98","CARRETHERS","RYAN","0","3","","","","","","","","","",""
"30","Arkansas St.","01/06/13","98","CARRETHERS","RYAN","3","2","","","","","","","","","",""
"30","Arkansas St.","09/01/12","12","COLEMAN","KYLE","0","2","","","","","","","1","","",""
"30","Arkansas St.","09/08/12","12","COLEMAN","KYLE","0","2","","","","","","","","","",""
"30","Arkansas St.","09/15/12","12","COLEMAN","KYLE","3","3","","","","","","","","","",""
"30","Arkansas St.","09/22/12","12","COLEMAN","KYLE","1","6","1","2","4","","","","","","",""
"30","Arkansas St.","09/29/12","12","COLEMAN","KYLE","0","1","","","","","","","","","",""
"30","Arkansas St.","10/04/12","12","COLEMAN","KYLE","3","0","","","","","","","","","",""
"30","Arkansas St.","11/03/12","12","COLEMAN","KYLE","1","0","","","","","","","","","",""
