Year,Team,Player,Targets,Catches,Yards,CatchRate,YdsPerTarget,Target %,YdsPerCatch,Standard Targets,Standard Catches,Standard Yards,Standard CatchRate,Standard YdsPerTarget,Standard Target %,Standard YdsPerCatch,Passing Targets,Passing Catches,Passing Yards,Passing CatchRate,Passing YdsPerTarget,Passing Target %,Passing YdsPerCatch
2006,Western Michigan,Herb Martin,48,30,365,62.5%,7.6,12.4%,12.2,27,17,181,63.0%,6.7,12.3%,10.6,21,13,184,61.9%,8.8,12.6%,14.2
2007,TCU,Donald Massey,48,29,364,60.4%,7.6,11.3%,12.6,32,21,258,65.6%,8.1,12.9%,12.3,16,8,106,50.0%,6.6,9.1%,13.3
2011,South Florida,Victor Marc,48,34,362,70.8%,7.5,11.7%,10.6,30,21,235,70.0%,7.8,12.0%,11.2,18,13,127,72.2%,7.1,11.1%,9.8
2005,Buffalo,Chad Upshaw,48,37,359,77.1%,7.5,15.7%,9.7,28,22,231,78.6%,8.3,17.7%,10.5,20,15,128,75.0%,6.4,13.6%,8.5
2006,Arkansas State,Kevin Jones,48,25,358,52.1%,7.5,17.9%,14.3,25,12,150,48.0%,6.0,17.1%,12.5,23,13,208,56.5%,9.0,18.9%,16.0
2011,Purdue,O.J. Ross,48,33,356,68.8%,7.4,13.1%,10.8,26,18,196,69.2%,7.5,13.1%,10.9,22,15,160,68.2%,7.3,13.1%,10.7
2011,Buffalo,Ed Young,48,27,353,56.3%,7.4,12.2%,13.1,33,21,266,63.6%,8.1,15.1%,12.7,15,6,87,40.0%,5.8,8.6%,14.5
2011,Kansas,Kale Pick,48,34,343,70.8%,7.1,16.7%,10.1,22,15,101,68.2%,4.6,14.6%,6.7,26,19,242,73.1%,9.3,19.1%,12.7
2011,Mississippi State,Chad Bumphis,48,25,339,52.1%,7.1,14.5%,13.6,33,20,287,60.6%,8.7,17.5%,14.4,15,5,52,33.3%,3.5,10.6%,10.4
2009,North Carolina,Zack Pianalto,48,33,334,68.8%,7.0,14.3%,10.1,26,18,205,69.2%,7.9,15.6%,11.4,22,15,129,68.2%,5.9,13.1%,8.6
2005,Idaho,Matt Askew,48,28,330,58.3%,6.9,12.2%,11.8,23,16,177,69.6%,7.7,10.6%,11.1,25,12,153,48.0%,6.1,14.2%,12.8
2011,Cincinnati,Isaiah Pead,48,39,319,81.3%,6.6,13.2%,8.2,25,21,146,84.0%,5.8,12.4%,7.0,23,18,173,78.3%,7.5,14.1%,9.6
2006,Kansas,Marcus Henry,48,25,316,52.1%,6.6,14.1%,12.6,26,11,142,42.3%,5.5,13.9%,12.9,22,14,174,63.6%,7.9,14.4%,12.4
2010,Colorado State,Zac Pauga,48,33,308,68.8%,6.4,12.8%,9.3,31,22,186,71.0%,6.0,14.2%,8.5,17,11,122,64.7%,7.2,10.8%,11.1
2009,Iowa State,Darius Darks,48,28,303,58.3%,6.3,13.7%,10.8,28,20,178,71.4%,6.4,13.5%,8.9,20,8,125,40.0%,6.3,14.0%,15.6
2006,Florida State,Brandon Warren,48,28,301,58.3%,6.3,11.6%,10.8,36,20,228,55.6%,6.3,15.7%,11.4,12,8,73,66.7%,6.1,6.5%,9.1
2011,Tulane,Orleans Darkwa,48,37,297,77.1%,6.2,10.9%,8.0,24,20,233,83.3%,9.7,9.7%,11.7,24,17,64,70.8%,2.7,12.4%,3.8
2011,Florida Atlantic,Darian Williams,48,26,291,54.2%,6.1,14.7%,11.2,24,15,173,62.5%,7.2,13.4%,11.5,24,11,118,45.8%,4.9,16.2%,10.7
2007,Clemson,C.J. Spiller,48,35,273,72.9%,5.7,10.9%,7.8,28,20,203,71.4%,7.3,12.1%,10.2,20,15,70,75.0%,3.5,9.5%,4.7
2010,Wake Forest,Marshall Williams,48,24,272,50.0%,5.7,17.2%,11.3,23,16,196,69.6%,8.5,15.4%,12.3,25,8,76,32.0%,3.0,19.2%,9.5
2010,Texas Tech,Tramain Swindall,48,33,271,68.8%,5.6,8.1%,8.2,36,23,179,63.9%,5.0,9.4%,7.8,12,10,92,83.3%,7.7,5.8%,9.2
2007,Vanderbilt,Sean Walker,48,20,270,41.7%,5.6,14.4%,13.5,24,4,43,16.7%,1.8,13.0%,10.8,24,16,227,66.7%,9.5,16.1%,14.2
2007,Indiana,James Bailey,48,26,268,54.2%,5.6,11.1%,10.3,25,15,144,60.0%,5.8,9.8%,9.6,23,11,124,47.8%,5.4,13.0%,11.3
2005,LSU,Skyler Green,48,32,268,66.7%,5.6,14.0%,8.4,23,16,128,69.6%,5.6,11.9%,8.0,25,16,140,64.0%,5.6,16.8%,8.8
2010,San Diego State,Dominique Sandifer,48,23,263,47.9%,5.5,11.8%,11.4,24,10,101,41.7%,4.2,10.5%,10.1,24,13,162,54.2%,6.8,13.6%,12.5
2007,South Florida,Amarri Jackson,48,22,256,45.8%,5.3,12.2%,11.6,23,13,115,56.5%,5.0,11.7%,8.8,25,9,141,36.0%,5.6,12.8%,15.7
2008,Eastern Michigan,Marvon Sanders,48,28,253,58.3%,5.3,10.1%,9.0,26,14,115,53.8%,4.4,9.0%,8.2,22,14,138,63.6%,6.3,11.8%,9.9
2006,Virginia,Tom Santi,48,29,253,60.4%,5.3,14.6%,8.7,32,20,187,62.5%,5.8,17.8%,9.4,16,9,66,56.3%,4.1,10.8%,7.3
2009,Buffalo,Terrell Jackson,48,25,250,52.1%,5.2,12.6%,10.0,24,14,144,58.3%,6.0,11.2%,10.3,24,11,106,45.8%,4.4,14.5%,9.6
2005,Temple,Jamel Harris,48,20,241,41.7%,5.0,15.6%,12.1,21,10,87,47.6%,4.1,14.2%,8.7,27,10,154,37.0%,5.7,16.9%,15.4
2011,Idaho,Kama Bailey,48,32,234,66.7%,4.9,12.2%,7.3,29,20,143,69.0%,4.9,13.1%,7.2,19,12,91,63.2%,4.8,11.0%,7.6
2010,Western Kentucky,Bobby Rainey,48,29,230,60.4%,4.8,17.0%,7.9,19,17,172,89.5%,9.1,12.2%,10.1,29,12,58,41.4%,2.0,23.0%,4.8
2007,Kansas State,James Johnson,48,34,220,70.8%,4.6,9.9%,6.5,24,22,134,91.7%,5.6,8.0%,6.1,24,12,86,50.0%,3.6,13.0%,7.2
2009,Akron,Jeremy Bruce,48,29,219,60.4%,4.6,15.0%,7.6,30,23,163,76.7%,5.4,17.0%,7.1,18,6,56,33.3%,3.1,12.5%,9.3
2005,Oregon,Tim Day,48,25,215,52.1%,4.5,10.4%,8.6,31,19,164,61.3%,5.3,10.9%,8.6,17,6,51,35.3%,3.0,9.5%,8.5
2007,Arizona,Nicholas Grigsby,48,35,200,72.9%,4.2,9.6%,5.7,30,24,143,80.0%,4.8,10.3%,6.0,18,11,57,61.1%,3.2,8.7%,5.2
2011,Vanderbilt,Jonathan Krause,48,23,171,47.9%,3.6,15.1%,7.4,22,10,36,45.5%,1.6,14.3%,3.6,26,13,135,50.0%,5.2,16.0%,10.4
2009,NC State,Owen Spencer,47,30,765,63.8%,16.3,12.3%,25.5,30,18,506,60.0%,16.9,14.0%,28.1,17,12,259,70.6%,15.2,10.1%,21.6
2006,Louisville,Gary Barnidge,47,31,511,66.0%,10.9,12.8%,16.5,34,26,459,76.5%,13.5,14.7%,17.7,13,5,52,38.5%,4.0,9.7%,10.4
2007,Louisiana Tech,Phillip Livas,47,28,494,59.6%,10.5,12.1%,17.6,28,15,200,53.6%,7.1,12.1%,13.3,19,13,294,68.4%,15.5,12.2%,22.6
2007,Colorado,Josh Smith,47,25,491,53.2%,10.4,10.7%,19.6,23,15,315,65.2%,13.7,9.5%,21.0,24,10,176,41.7%,7.3,12.1%,17.6
2010,Fresno State,Jalen Saunders,47,30,462,63.8%,9.8,14.0%,15.4,32,20,287,62.5%,9.0,16.2%,14.4,15,10,175,66.7%,11.7,10.9%,17.5
2010,New Mexico,Lucas Reed,47,33,459,70.2%,9.8,14.1%,13.9,27,20,256,74.1%,9.5,15.1%,12.8,20,13,203,65.0%,10.2,13.0%,15.6
2009,UL-Monroe,Luther Ambrose,47,34,455,72.3%,9.7,15.8%,13.4,25,21,292,84.0%,11.7,16.4%,13.9,22,13,163,59.1%,7.4,15.2%,12.5
2007,Fresno State,Seyi Ajirotutu,47,28,453,59.6%,9.6,14.4%,16.2,27,17,285,63.0%,10.6,13.4%,16.8,20,11,168,55.0%,8.4,15.9%,15.3
2009,Florida State,Taiwan Easterling,47,35,444,74.5%,9.4,11.2%,12.7,29,23,314,79.3%,10.8,10.9%,13.7,18,12,130,66.7%,7.2,11.9%,10.8
2008,Texas,Brandon Collins,47,35,430,74.5%,9.1,10.9%,12.3,25,18,180,72.0%,7.2,8.9%,10.0,22,17,250,77.3%,11.4,14.9%,14.7
2010,TCU,Bart Johnson,47,31,419,66.0%,8.9,14.7%,13.5,22,16,235,72.7%,10.7,11.5%,14.7,25,15,184,60.0%,7.4,19.4%,12.3
2009,Missouri,Wes Kemp,47,23,418,48.9%,8.9,10.7%,18.2,23,13,265,56.5%,11.5,8.5%,20.4,24,10,153,41.7%,6.4,14.3%,15.3
2006,Ole Miss,Mike Wallace,47,24,410,51.1%,8.7,18.2%,17.1,22,10,174,45.5%,7.9,16.2%,17.4,25,14,236,56.0%,9.4,20.5%,16.9
2006,Rice,Quinton Smith,47,40,410,85.1%,8.7,11.7%,10.3,21,18,162,85.7%,7.7,9.4%,9.0,26,22,248,84.6%,9.5,14.5%,11.3
2011,Louisiana Tech,Myles White,47,30,408,63.8%,8.7,10.5%,13.6,26,23,272,88.5%,10.5,9.7%,11.8,21,7,136,33.3%,6.5,11.9%,19.4
2006,South Carolina,Cory Boyd,47,35,406,74.5%,8.6,12.9%,11.6,23,18,207,78.3%,9.0,11.0%,11.5,24,17,199,70.8%,8.3,15.4%,11.7
2009,Virginia Tech,Dyrell Roberts,47,23,403,48.9%,8.6,20.3%,17.5,21,12,207,57.1%,9.9,18.4%,17.3,26,11,196,42.3%,7.5,22.2%,17.8
2011,Oregon State,Brandin Cooks,47,31,391,66.0%,8.3,9.9%,12.6,25,13,180,52.0%,7.2,9.4%,13.8,22,18,211,81.8%,9.6,10.6%,11.7
2010,Arizona State,Gerell Robinson,47,29,387,61.7%,8.2,10.9%,13.3,25,16,221,64.0%,8.8,9.9%,13.8,22,13,166,59.1%,7.5,12.2%,12.8
2011,Alabama,Darius Hanks,47,31,386,66.0%,8.2,12.9%,12.5,30,20,264,66.7%,8.8,12.6%,13.2,17,11,122,64.7%,7.2,13.4%,11.1
2008,Texas A&M,Mike Goodson,47,37,386,78.7%,8.2,12.1%,10.4,30,25,269,83.3%,9.0,13.6%,10.8,17,12,117,70.6%,6.9,10.0%,9.8
2010,Miami-OH,Chris Givens,47,26,385,55.3%,8.2,10.0%,14.8,20,11,168,55.0%,8.4,7.3%,15.3,27,15,217,55.6%,8.0,14.0%,14.5
2010,Middle Tennessee,Garrett Andrews,47,34,377,72.3%,8.0,13.1%,11.1,27,20,197,74.1%,7.3,14.0%,9.9,20,14,180,70.0%,9.0,12.1%,12.9
2006,Texas,Jermichael Finley,47,31,372,66.0%,7.9,13.1%,12.0,27,18,224,66.7%,8.3,12.4%,12.4,20,13,148,65.0%,7.4,14.3%,11.4
2009,BYU,O'Neill Chambers,47,32,371,68.1%,7.9,11.9%,11.6,34,24,285,70.6%,8.4,13.2%,11.9,13,8,86,61.5%,6.6,9.5%,10.8
2009,Penn State,Chaz Powell,47,28,366,59.6%,7.8,12.5%,13.1,34,20,285,58.8%,8.4,14.0%,14.3,13,8,81,61.5%,6.2,9.8%,10.1
2005,Kentucky,Keenan Burton,47,24,365,51.1%,7.8,16.7%,15.2,23,12,185,52.2%,8.0,16.0%,15.4,24,12,180,50.0%,7.5,17.5%,15.0
2011,Western Kentucky,Bobby Rainey,47,36,361,76.6%,7.7,17.2%,10.0,22,17,199,77.3%,9.0,14.3%,11.7,25,19,162,76.0%,6.5,21.0%,8.5
2007,Louisiana Tech,Philip Beck,47,30,359,63.8%,7.6,12.1%,12.0,28,17,171,60.7%,6.1,12.1%,10.1,19,13,188,68.4%,9.9,12.2%,14.5
2007,Boston College,Clarence Megwa,47,30,353,63.8%,7.5,7.9%,11.8,30,20,238,66.7%,7.9,8.2%,11.9,17,10,115,58.8%,6.8,7.4%,11.5
2007,Miami-FL,Sam Shields,47,27,346,57.4%,7.4,18.4%,12.8,28,16,203,57.1%,7.3,21.4%,12.7,19,11,143,57.9%,7.5,15.3%,13.0
2011,Auburn,Onterio McCalebb,47,32,344,68.1%,7.3,17.2%,10.8,15,11,88,73.3%,5.9,12.7%,8.0,32,21,256,65.6%,8.0,20.6%,12.2
2009,California,Jeremy Ross,47,22,344,46.8%,7.3,12.3%,15.6,24,10,240,41.7%,10.0,11.3%,24.0,23,12,104,52.2%,4.5,13.6%,8.7
2010,Boston College,Chris Pantale,47,31,338,66.0%,7.2,15.2%,10.9,25,20,198,80.0%,7.9,18.7%,9.9,22,11,140,50.0%,6.4,12.6%,12.7
2007,Alabama,Keith Brown,47,22,336,46.8%,7.1,10.2%,15.3,22,10,128,45.5%,5.8,8.3%,12.8,25,12,208,48.0%,8.3,12.9%,17.3
2008,North Carolina,Brooks Foster,47,30,334,63.8%,7.1,16.2%,11.1,20,14,149,70.0%,7.5,13.3%,10.6,27,16,185,59.3%,6.9,19.3%,11.6
2007,Virginia Tech,Josh Hyman,47,25,332,53.2%,7.1,13.4%,13.3,22,11,134,50.0%,6.1,12.2%,12.2,25,14,198,56.0%,7.9,14.6%,14.1
2006,UCLA,Junior Taylor,47,28,331,59.6%,7.0,12.5%,11.8,22,15,193,68.2%,8.8,10.7%,12.9,25,13,138,52.0%,5.5,14.7%,10.6
2011,BYU,JD Falslev,47,31,330,66.0%,7.0,10.9%,10.6,27,22,200,81.5%,7.4,10.5%,9.1,20,9,130,45.0%,6.5,11.5%,14.4
2010,NC State,Darrell Davis,47,26,327,55.3%,7.0,9.2%,12.6,27,16,207,59.3%,7.7,8.5%,12.9,20,10,120,50.0%,6.0,10.4%,12.0
2009,Nevada,Chris Wellington,47,24,327,51.1%,7.0,17.5%,13.6,26,13,186,50.0%,7.2,16.1%,14.3,21,11,141,52.4%,6.7,19.4%,12.8
2008,Boise State,Julian Hawkins,47,26,322,55.3%,6.9,11.2%,12.4,31,20,240,64.5%,7.7,13.5%,12.0,16,6,82,37.5%,5.1,8.5%,13.7
2010,Syracuse,Antwon Bailey,47,35,306,74.5%,6.5,15.1%,8.7,26,21,156,80.8%,6.0,14.4%,7.4,21,14,150,66.7%,7.1,16.0%,10.7
2007,Central Michigan,Justin Gardner,47,33,305,70.2%,6.5,8.8%,9.2,32,22,157,68.8%,4.9,9.4%,7.1,15,11,148,73.3%,9.9,7.8%,13.5
2005,Southern Miss,Chris Johnson,47,20,303,42.6%,6.4,12.1%,15.2,27,13,209,48.1%,7.7,13.6%,16.1,20,7,94,35.0%,4.7,10.6%,13.4
2008,TCU,Walter Bryant,47,27,298,57.4%,6.3,13.7%,11.0,32,18,213,56.3%,6.7,14.4%,11.8,15,9,85,60.0%,5.7,12.3%,9.4
2008,Idaho,Preston Davis,47,27,296,57.4%,6.3,13.5%,11.0,23,10,88,43.5%,3.8,11.6%,8.8,24,17,208,70.8%,8.7,15.9%,12.2
2008,San Jose State,Terrance Williams,47,22,288,46.8%,6.1,13.2%,13.1,22,13,164,59.1%,7.5,12.3%,12.6,25,9,124,36.0%,5.0,14.0%,13.8
2006,Arkansas State,Levi Dejohnette,47,23,281,48.9%,6.0,17.5%,12.2,32,15,185,46.9%,5.8,21.9%,12.3,15,8,96,53.3%,6.4,12.3%,12.0
2005,Middle Tennessee,Eugene Gross,47,33,277,70.2%,5.9,15.5%,8.4,24,18,132,75.0%,5.5,14.0%,7.3,23,15,145,65.2%,6.3,17.4%,9.7
2006,LSU,Jacob Hester,47,35,269,74.5%,5.7,13.5%,7.7,28,21,193,75.0%,6.9,14.2%,9.2,19,14,76,73.7%,4.0,12.5%,5.4
2007,UL-Monroe,Calvin Dawson,47,31,267,66.0%,5.7,14.9%,8.6,25,16,129,64.0%,5.2,14.0%,8.1,22,15,138,68.2%,6.3,15.9%,9.2
2011,Oklahoma State,Joseph Randle,47,43,266,91.5%,5.7,8.2%,6.2,32,30,144,93.8%,4.5,7.9%,4.8,15,13,122,86.7%,8.1,9.0%,9.4
2006,Rice,Joel Armstrong,47,24,265,51.1%,5.6,11.7%,11.0,30,16,211,53.3%,7.0,13.5%,13.2,17,8,54,47.1%,3.2,9.5%,6.8
2010,Tulane,Devin Figaro,47,19,259,40.4%,5.5,10.8%,13.6,32,11,162,34.4%,5.1,13.3%,14.7,15,8,97,53.3%,6.5,7.7%,12.1
2007,Texas Tech,Aaron Crawford,47,39,255,83.0%,5.4,6.4%,6.5,32,26,134,81.3%,4.2,6.4%,5.2,15,13,121,86.7%,8.1,6.3%,9.3
2006,UTEP,Marcus Thomas,47,39,241,83.0%,5.1,11.1%,6.2,26,21,126,80.8%,4.8,10.5%,6.0,21,18,115,85.7%,5.5,12.0%,6.4
2007,Baylor,Ernest Smith,47,20,228,42.6%,4.9,8.9%,11.4,35,15,150,42.9%,4.3,10.9%,10.0,12,5,78,41.7%,6.5,5.9%,15.6
2010,Texas Tech,Baron Batch,47,32,226,68.1%,4.8,8.0%,7.1,29,19,119,65.5%,4.1,7.6%,6.3,18,13,107,72.2%,5.9,8.7%,8.2
2008,Troy,DuJuan Harris,47,36,216,76.6%,4.6,9.4%,6.0,35,28,185,80.0%,5.3,11.0%,6.6,12,8,31,66.7%,2.6,6.6%,3.9
2011,Iowa State,Darius Darks,47,21,211,44.7%,4.5,10.8%,10.0,25,14,142,56.0%,5.7,10.7%,10.1,22,7,69,31.8%,3.1,10.8%,9.9
2007,Mississippi State,Aubrey Bell,47,14,186,29.8%,4.0,13.5%,13.3,21,7,107,33.3%,5.1,12.6%,15.3,26,7,79,26.9%,3.0,14.4%,11.3
2008,Purdue,Brandon Whittington,47,25,182,53.2%,3.9,9.7%,7.3,25,14,96,56.0%,3.8,8.8%,6.9,22,11,86,50.0%,3.9,10.9%,7.8
2006,Florida,Jemalle Cornelius,46,34,523,73.9%,11.4,12.5%,15.4,27,19,328,70.4%,12.1,12.2%,17.3,19,15,195,78.9%,10.3,12.8%,13.0
2006,Miami-OH,Dustin Woods,46,25,506,54.3%,11.0,11.8%,20.2,25,14,336,56.0%,13.4,12.6%,24.0,21,11,170,52.4%,8.1,10.9%,15.5
2009,Fresno State,Jamel Hamler,46,37,503,80.4%,10.9,15.9%,13.6,20,14,140,70.0%,7.0,12.3%,10.0,26,23,363,88.5%,14.0,20.5%,15.8
2009,South Florida,A.J. Love,46,26,489,56.5%,10.6,17.0%,18.8,24,13,217,54.2%,9.0,17.8%,16.7,22,13,272,59.1%,12.4,16.3%,20.9
2009,Oregon State,Joe Halahuni,46,35,486,76.1%,10.6,10.0%,13.9,23,18,212,78.3%,9.2,9.6%,11.8,23,17,274,73.9%,11.9,10.4%,16.1
2005,Virginia Tech,Josh Morgan,46,28,471,60.9%,10.2,16.0%,16.8,25,18,324,72.0%,13.0,14.5%,18.0,21,10,147,47.6%,7.0,18.3%,14.7
2006,Syracuse,Mike Williams,46,24,461,52.2%,10.0,15.9%,19.2,17,8,196,47.1%,11.5,10.9%,24.5,29,16,265,55.2%,9.1,21.8%,16.6
2005,Navy,Jason Tomlinson,46,25,445,54.3%,9.7,37.4%,17.8,19,9,135,47.4%,7.1,34.5%,15.0,27,16,310,59.3%,11.5,39.7%,19.4
2011,Louisville,Michaelee Harris,46,35,438,76.1%,9.5,13.0%,12.5,31,24,225,77.4%,7.3,15.3%,9.4,15,11,213,73.3%,14.2,9.9%,19.4
2011,Oregon,David Paulson,46,31,438,67.4%,9.5,12.4%,14.1,29,20,254,69.0%,8.8,12.4%,12.7,17,11,184,64.7%,10.8,12.2%,16.7
2009,Michigan,Roy Roundtree,46,32,434,69.6%,9.4,15.1%,13.6,25,17,179,68.0%,7.2,16.0%,10.5,21,15,255,71.4%,12.1,14.1%,17.0
2005,East Carolina,Phillip Henry,46,28,428,60.9%,9.3,13.2%,15.3,26,18,303,69.2%,11.7,13.2%,16.8,20,10,125,50.0%,6.3,13.2%,12.5
2008,Utah,David Reed,46,25,427,54.3%,9.3,11.5%,17.1,27,14,196,51.9%,7.3,10.5%,14.0,19,11,231,57.9%,12.2,13.1%,21.0
2005,Fresno State,Matt Rivera,46,38,421,82.6%,9.2,11.6%,11.1,19,18,199,94.7%,10.5,8.7%,11.1,27,20,222,74.1%,8.2,15.3%,11.1
2006,BYU,Matt Allen,46,27,420,58.7%,9.1,10.8%,15.6,31,20,339,64.5%,10.9,10.8%,17.0,15,7,81,46.7%,5.4,10.6%,11.6
2010,Nevada,Malcolm Shepherd,46,36,405,78.3%,8.8,13.1%,11.3,24,18,173,75.0%,7.2,11.6%,9.6,22,18,232,81.8%,10.5,15.3%,12.9
2011,Northwestern,Demetrius Fields,46,32,403,69.6%,8.8,11.7%,12.6,31,21,246,67.7%,7.9,12.0%,11.7,15,11,157,73.3%,10.5,11.0%,14.3
2008,Texas Tech,Shannon Woods,46,36,397,78.3%,8.6,7.2%,11.0,34,26,276,76.5%,8.1,7.5%,10.6,12,10,121,83.3%,10.1,6.4%,12.1
2010,USC,Stanley Havili,46,32,396,69.6%,8.6,10.6%,12.4,28,19,266,67.9%,9.5,10.3%,14.0,18,13,130,72.2%,7.2,11.1%,10.0
2009,Tennessee,Luke Stocker,46,29,389,63.0%,8.5,13.0%,13.4,34,22,254,64.7%,7.5,16.6%,11.5,12,7,135,58.3%,11.3,8.1%,19.3
2005,Stanford,Gerren Crochet,46,29,387,63.0%,8.4,15.2%,13.3,26,13,151,50.0%,5.8,15.8%,11.6,20,16,236,80.0%,11.8,14.5%,14.8
2010,Eastern Michigan,Ben Thayer,46,30,386,65.2%,8.4,17.7%,12.9,25,16,220,64.0%,8.8,18.2%,13.8,21,14,166,66.7%,7.9,17.1%,11.9
2006,Kentucky,Jacob Tamme,46,32,386,69.6%,8.4,11.0%,12.1,32,21,212,65.6%,6.6,12.3%,10.1,14,11,174,78.6%,12.4,8.8%,15.8
2005,Florida,Jemalle Cornelius,46,29,383,63.0%,8.3,13.1%,13.2,26,18,227,69.2%,8.7,12.1%,12.6,20,11,156,55.0%,7.8,14.6%,14.2
2005,Tennessee,Robert Meachem,46,29,383,63.0%,8.3,14.4%,13.2,30,17,232,56.7%,7.7,18.0%,13.6,16,12,151,75.0%,9.4,10.5%,12.6
2011,Missouri,Wes Kemp,46,29,369,63.0%,8.0,12.8%,12.7,25,17,243,68.0%,9.7,11.3%,14.3,21,12,126,57.1%,6.0,15.3%,10.5
2009,Indiana,Mitchell Evans,46,33,366,71.7%,8.0,11.1%,11.1,21,15,159,71.4%,7.6,10.0%,10.6,25,18,207,72.0%,8.3,12.1%,11.5
2007,Arizona State,Kyle Williams,46,29,360,63.0%,7.8,10.8%,12.4,25,16,213,64.0%,8.5,10.5%,13.3,21,13,147,61.9%,7.0,11.2%,11.3
2008,South Florida,A.J. Love,46,30,354,65.2%,7.7,12.1%,11.8,26,16,136,61.5%,5.2,12.5%,8.5,20,14,218,70.0%,10.9,11.6%,15.6
2007,Fresno State,Clifton Smith,46,33,352,71.7%,7.7,14.1%,10.7,23,18,186,78.3%,8.1,11.4%,10.3,23,15,166,65.2%,7.2,18.3%,11.1
2006,Syracuse,Tom Ferron,46,30,351,65.2%,7.6,15.9%,11.7,30,21,247,70.0%,8.2,19.2%,11.8,16,9,104,56.3%,6.5,12.0%,11.6
2007,Eastern Michigan,Tyler Jones,46,29,341,63.0%,7.4,14.0%,11.8,28,17,211,60.7%,7.5,15.5%,12.4,18,12,130,66.7%,7.2,12.2%,10.8
2006,South Florida,Marcus Edwards,46,27,328,58.7%,7.1,13.9%,12.1,26,19,253,73.1%,9.7,15.0%,13.3,20,8,75,40.0%,3.8,12.6%,9.4
2007,Ole Miss,Dexter McCluster,46,27,326,58.7%,7.1,13.2%,12.1,27,18,198,66.7%,7.3,14.4%,11.0,19,9,128,47.4%,6.7,11.8%,14.2
2010,San Diego State,Gavin Escobar,46,29,323,63.0%,7.0,11.3%,11.1,24,15,175,62.5%,7.3,10.5%,11.7,22,14,148,63.6%,6.7,12.4%,10.6
2008,Florida State,Taiwan Easterling,46,30,322,65.2%,7.0,12.3%,10.7,28,17,134,60.7%,4.8,12.5%,7.9,18,13,188,72.2%,10.4,12.0%,14.5
2011,Northern Illinois,Da'Ron Brown,46,23,317,50.0%,6.9,11.8%,13.8,25,15,195,60.0%,7.8,11.0%,13.0,21,8,122,38.1%,5.8,12.9%,15.3
2009,UL-Lafayette,Louis Lee,46,24,312,52.2%,6.8,11.9%,13.0,24,14,191,58.3%,8.0,10.5%,13.6,22,10,121,45.5%,5.5,14.1%,12.1
2010,UCLA,Nelson Rosario,46,29,309,63.0%,6.7,16.6%,10.7,24,18,128,75.0%,5.3,16.4%,7.1,22,11,181,50.0%,8.2,16.8%,16.5
2007,Kansas State,Daniel Gonzalez,46,26,307,56.5%,6.7,9.5%,11.8,31,22,266,71.0%,8.6,10.3%,12.1,15,4,41,26.7%,2.7,8.2%,10.3
2009,Mississippi State,Marcus Green,46,27,306,58.7%,6.7,18.7%,11.3,30,19,208,63.3%,6.9,21.1%,10.9,16,8,98,50.0%,6.1,15.4%,12.3
2010,Central Michigan,David Blackburn,46,22,302,47.8%,6.6,10.2%,13.7,31,14,208,45.2%,6.7,12.0%,14.9,15,8,94,53.3%,6.3,7.9%,11.8
2008,Arkansas,Michael Smith,46,32,298,69.6%,6.5,9.7%,9.3,23,16,136,69.6%,5.9,8.1%,8.5,23,16,162,69.6%,7.0,12.0%,10.1
2008,Pittsburgh,Oderick Turner,46,21,298,45.7%,6.5,13.0%,14.2,24,12,167,50.0%,7.0,11.7%,13.9,22,9,131,40.9%,6.0,14.8%,14.6
2011,Oklahoma,Roy Finch,46,34,296,73.9%,6.4,8.4%,8.7,23,18,128,78.3%,5.6,6.9%,7.1,23,16,168,69.6%,7.3,11.0%,10.5
2008,Indiana,Terrance Turner,46,29,289,63.0%,6.3,13.8%,10.0,23,16,145,69.6%,6.3,12.6%,9.1,23,13,144,56.5%,6.3,15.3%,11.1
2007,Baylor,Krys Buerck,46,23,279,50.0%,6.1,8.7%,12.1,22,12,120,54.5%,5.5,6.8%,10.0,24,11,159,45.8%,6.6,11.7%,14.5
2006,Syracuse,Rice Moss,46,23,272,50.0%,5.9,15.9%,11.8,25,12,126,48.0%,5.0,16.0%,10.5,21,11,146,52.4%,7.0,15.8%,13.3
2010,Miami-OH,DeMarco Paine,46,32,270,69.6%,5.9,9.8%,8.4,20,17,102,85.0%,5.1,7.3%,6.0,26,15,168,57.7%,6.5,13.5%,11.2
2010,Duke,Desmond Scott,46,34,266,73.9%,5.8,10.3%,7.8,25,20,167,80.0%,6.7,9.9%,8.4,21,14,99,66.7%,4.7,10.8%,7.1
2011,Kent State,Matthew Hurdle,46,20,266,43.5%,5.8,13.8%,13.3,22,10,168,45.5%,7.6,12.3%,16.8,24,10,98,41.7%,4.1,15.5%,9.8
2009,Arizona State,Kerry Taylor,46,22,259,47.8%,5.6,11.6%,11.8,24,8,77,33.3%,3.2,11.7%,9.6,22,14,182,63.6%,8.3,11.5%,13.0
2008,Western Kentucky,Wenquel Graves,46,25,257,54.3%,5.6,15.6%,10.3,22,13,123,59.1%,5.6,13.9%,9.5,24,12,134,50.0%,5.6,17.5%,11.2
2007,East Carolina,Steven Rogers,46,25,252,54.3%,5.5,12.7%,10.1,29,15,157,51.7%,5.4,14.9%,10.5,17,10,95,58.8%,5.6,10.1%,9.5
2010,San Jose State,Kyle Nunn,46,24,250,52.2%,5.4,11.3%,10.4,23,16,198,69.6%,8.6,8.9%,12.4,23,8,52,34.8%,2.3,15.4%,6.5
